Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Location,Latitude,Longitude,Mapped Location
223,2020,Nashville Plan Schools/ Glenn School,"In Brown v. Topeka (1954) and Brown II (1955) the U.S. Supreme Court ordered public schools nationwide to end racial segregation “with all deliberate speed.” Nashville failed to comply, resulting in the Kelley v. Board of Education case (1955) and the 1957 enactment of a grade-per-year plan starting at the first grade. In 1963, the Maxwell v. Davidson County (1960) case was merged with the Kelley case. In 1998, the court deemed the Metro school system to be desegregated.

Named for Davidson County Judge and former Edgefield mayor William A. Glenn (1805-1883), the two-story, brick Glenn School opened in 1904. On Sept. 9, 1957, three African American first grade students desegregated the school. An agitated, jeering mob of white segregationists jostled students and parents. Members of the Congress of Racial Equality (CORE) visited area parents, supporting those already enrolled and encouraging others to join them. The school was replaced in 1988.",,322 Cleveland Street,36.186885,-86.766544,POINT (-86.766544 36.186885)
2,1968,Captain John Rains 1743-1834,"On Christmas Day 1779, John Rains led his family and livestock across the frozen Cumberland and settled in this vicinity. In 1784 he built a fort that enclosed this hill and the spring 75 yards east. At james Robertson's orders he often led a company of scouts against Indians. Rains made his home here until his death in 1834.",,SW corner of Rains Avenue and Merritt Street,36.13908,-86.76404,POINT (-86.76404 36.13908)
163,2018,Grandale,"Built in the 1830s, rebuilt in 1859, and expanded in 1880, Perry Dale Sr. and Alberta G. Dale purchased this two-story frame house in 1946, naming it GranDale. The one-story wings were added to each side in the 1970s. Between 1972 and 1973, Perry Sr. sold the house and the Dale Foods canning factory (now Cannery Row) to his two sons. The Dale sons sold GranDale in 1983, and in 1997 the house was moved 60 ft. from the original location at 2234 Murfreesboro Pike to save it from demolition.",,200 Nashboro Boulevard,36.088169,-86.646253,POINT (-86.646253 36.088169)
102,1997,Saint Thomas Hospital,"On April 11, 1898, at the request of Nashville Bishop Thomas Byrne, the Daughters of Charity opened Saint Thomas Hospital on this site in the former home of Judge J. M. Dickinson. Named for Byrne’s patron saint, the hospital began as a 26-bed “refuge for the sick,” opened a new building in 1902, operated a School of Nursing, and grew to 333 beds before moving in 1974 to 4220 Harding Road.",,Hayes Street betweenTwentieth Avenue North and Twentiest-First Awvenue North,36.15206,-86.800736,POINT (-86.800736 36.15206)
44,1971,Timothy Demonbreun,"Jacques-Timothe’ De Montbrun, born on Mar. 23, 1741, in Boucherville, Quebec, was the first white man to live in the Nashville area. Beginning in 1769, he spent several winters here trading for furs. He served as Lieut. Gov. of Illinois Country, 1783-86. He became permanent resident of Nashville in 1790, operating store & tavern. Died at home on this site, Oct. 30, 1826.",,"Third Avenue North, near intersection with Broadway, wall marker",36.161898,-86.776215,POINT (-86.776215 36.161898)
39,1971,Site of Original Gas Works,"The Nashville Gas Light Co., founded Mar. 1850, with General Washington Barrow, President, built first gas works in Tennessee for manufacturing gas from coal. First street lamp was lighted Feb. 13, 1851 at Second Ave. North and Public Square. First gas stove was used in 1894. Natural gas piped from Texas was first used in Nashville on August 5, 1946.",,800 Second Avenue North,36.171508,-86.78114,POINT (-86.78114 36.171508)
134,2008,"Battle of Nashville (december 16, 1864) Confederate Final Stand","After the withdrawal from the main Confederate line at Peach Orchard Hill, Lt. Gen. Stephen D. Lee formed a battle line across Franklin Pike 400 yards east of here with 200 men from the remnants of Brig. Gen. Henry Clayton’s division and two cannons from the Eufaula Light Artillery. This last line of defense halted the Federal pursuit for the night as the Confederate army retreated through the hills to the southwest.",X,827 Tyne Blvd,36.077687,-86.777135,POINT (-86.777135 36.077687)
28,1970,Granny White Grave,"Lucinda “Granny” White of N.C. acquired 50 acres of land near Brown’s Creek on Jan. 2, 1803.  In 1812, she opened a log tavern about 200 feet north of here near an old spring. Famous for its food and hospitality, Granny White’s inn stood along a stagecoach road that connected to the Natchez Trace.  She was buried here on her land in 1816. Granny White Pike was named after her in 1855.  The D.A.R. Gen. James Robertson Chapter restored her grave and added iron fencing in 1932.",,Travelers Ridge Drive off of Granny White Pike,36.073301,-86.807104,POINT (-86.807104 36.073301)
98,1996,Jackson’s Law Office,Andrew Jackson settled in Nashville in 1788 and served as Atty. Gen. until 1796. Lawyer John Overton owned a building here (1791-96) and shared office space with his friend Jackson. Jackson was Tennessee’s first Rep. to Congress (1796) and state Superior Court judge (1798-1804). He led U.S. troops to victory at the 1815 Battle of New Orleans and was elected President in 1828.,,"333 Union Street, wall marker",36.165176,-86.779571,POINT (-86.779571 36.165176)
135,2009,The Seeing Eye Independence and Dignity Since 1929,"The Seeing Eye, the world-famous dog guide training school, was incorporated in Nashville January 29, 1929, with headquarters in the Fourth and First National Bank Building at 315 Union St. Morris Frank, a 20-year-old blind man from Nashville, and his guide dog, Buddy, played a key role in the school’s founding and subsequent success. It was Frank who persuaded Dorothy Harrison Eustis to establish a school in the United States.",,Union Street at Third Avenue North,36.165579,-86.778611,POINT (-86.778611 36.165579)
216,2020,Brewery at Mill Creek,"Arthur Redmond, a European brewer who immigrated to Nashville in 1815, established a brewery and bakery on Chicken Pike, now Elm Hill Pike. Situated along the east side of Mill Creek near Foster’s and Buchanan’s mills, he brewed porter and ale and baked “ship bread” with barley purchased from local farmers. In 1819, Redmond was awarded a U.S. patent for “brewing improvements.” After his death in 1823, Paul Bianchi took over operations until closing in 1825.",,1631 Elm Hill Pike,36.144688,-86.71157,POINT (-86.71157 36.144688)
147,2013,Fehr School,"Named for local merchant and former school board member Rudolph Fehr, and designed by architects Dougherty and Gardner, Fehr School opened in 1924. On Sept. 9, 1957, Fehr became one of the first schools in Nashville to desegregate, admitting four African American first graders, who attended despite a hostile atmosphere. Some 200 protestors surrounded the school, and it received bomb threats prior to Hattie Cotton School being firebombed shortly after midnight on Sept. 10",,1624 Fifth Avenue North,36.182203,-86.792432,POINT (-86.792432 36.182203)
146,2012,Mary Catherine Schweiss Strobel (1912-1986),"Nashville native Mary Catherine Strobel was the first female employee of the Nashville Fire Department, serving from 1948 to 1977. She also devoted her life to helping the poor.  She lived in the family home, 1212 7th Avenue North, from 1938 to 1971.  Mary Catherine was murdered in Nashville on Dec. 9, 1986 in a random act of violence. In 1987, the community established the Mary Catherine Strobel Volunteer Awards to foster her giving spirit and her legacy of community service.",,1212 17th Avenue North (Germantown),36.174855,-86.790906,POINT (-86.790906 36.174855)
91,1993,St. Patrick Catholic Church,"Erected in 1890 and named for Ireland’s patron saint, this Second Empire style church was built to serve South Nashville’s growing Irish Catholic population. Until 1954, the Sisters of Mercy taught a grade school here. Since the 1890s, the Irish Travelers, a unique clan of American nomads, have come here periodically for weddings and funerals.",,1219 Second Avenue South,36.144594,-86.76395,POINT (-86.76395 36.144594)
236,2021,Vine Street Chirstian Church 138 N. Vine St.,"Vine Street Christian Church (Disciples of Christ) traces its beginning to 1820 and the Baptist Church of Nashville. Formally founded eight years later, with 218 members, the church met near this site in an 1821 building on Church Street, then in 1889 moved to 138 North Vine Street (now Seventh Avenue North.) In 1957, the church moved to Harding Pike, where the historic congregation continues its ecumenical witness in the city and beyond.",,701 Church Street,36.161827,-86.782375,POINT (-86.782375 36.161827)
195,2019,Nashville School of Law,"Founded in 1911 by the Young Men’s Christian Association, the Nashville YMCA Night Law School was created to make legal education accessible to working-class people. The School shared space on the 3rd floor of the YMCA at 7th & Union with the John Hill Eakin Educational Institute and moved to the basement of the Church St. YMCA before moving to its own campus in 1991. Renamed the Nashville School of Law in 1986, it is the only remaining independent law school created by the YMCA.",,899 Church Street,,,
145,2012,Scarritt College for Christian Workers,"Established in Kansas City in 1892 by the Methodist Episcopal Church South and moved to Nashville in 1924, Scarritt trained laity in Christian education, music, and missions until it closed in 1988. Much of the Collegiate Gothic campus architecture was designed by Nashville architect Henry C. Hibbs.  The campus was listed in the National Register of Historic Places in 1982. A leader in racial integration in the South, Scarritt integrated its student population in 1952. The Rev. Martin Luther King, Jr. spoke in Wightman Chapel to the Conference on Christian Faith and Human Relations on April 25, 1957. From its beginning, Scarritt had an international student population that reflected its commitment to a global understanding of racial justice and equality. Its mission and vision continue today through the Scarritt-Bennett Center.",,"In front of Wightman Chapel, 1008 19th Avenue North",36.145991,-86.797257,POINT (-86.797257 36.145991)
112,2003,Tanglewood Historic District,"The Tanglewood Historic District is a rustic style suburban development from the 1920-1940s built by Robert M. Condra, a prominent Nashville builder. Natural materials are featured in this popular Arts and Crafts substyle that harmonizes with the landscape. Tanglewood is located at the site of a late 1700s settlement known as Haysborough.",,"4908 Tanglewood Drive North, Madison",36.234956,-86.716818,POINT (-86.716818 36.234956)
218,2020,The Rock Block,"One of Nashville’s oldest streets, Elliston Place was a popular commercial corridor by 1930.  Elliston Place Soda Shop opened in 1939.  In 1971 Owsley Manier and Brugh Reynolds opened the listening-room style music venue Exit/In, named for its main rear entrance. In the early 1980s the area became known as “The Rock Block,” with businesses like The End, TGI Friday’s, Obie’s Pizza, The Gold Rush and Mosko’s shaping Elliston Place’s legacy as Nashville’s counterculture epicenter.",,2208 Elliston Place,36.151254,-86.804396,POINT (-86.804396 36.151254)
92,1994,Captain Ryman’s Home,"On this site stood the residence of Captain Thomas Green Ryman, owner of the Ryman steamboat line and builder of the Union Gospel Tabernacle, renamed Ryman Auditorium after his death in 1904. The Queen Anne frame house with a slate roof, seven gables and two turrets, served as the home of Captain and Mrs. Ryman and their seven children from 1885-1926. The house was razed in 1940.",,500 2nd Avenue South,36.155804,-86.771243,POINT (-86.771243 36.155804)
242,2022,Dr. Josie Wells,"Josie Wells came to Nashville in 1900 to attend Meharry Medical College of Walden University. One of three women graduates in 1904, she specialized in caring for women and children. She held free clinics for needy families, regardless of race. Wells was the campus physician at Fisk University, the first woman on the Meharry faculty, was instrumental in fundraising for Hubbard Hospital and became hospital superintendent in 1912.",,1005 Dr. D.B. Todd Boulevard,36.167057,-86.805801,POINT (-86.805801 36.167057)
192,2019,Cockrill Bend,"In 1786, the State of N.C. granted Gen. James Robertson several large tracts of land in this area. Robertson’s Bend was renamed after the Cockrill family who established several farms and a mill here before the Civil War. The Romanesque-style third Tenn. State Penitentiary, designed by Chattanooga architect S.M. Patton, was built from 1893-97 and had 50 buildings. It closed in 1992. Ford Glass Plant opened in 1956 as one of the world’s largest automobile glass manufacturers.",,Centennial Boulevard at Bomar Boulevard,36.171287,-86.862782,POINT (-86.862782 36.171287)
55,1975,Woodbine,"An early settler of this area was James Menees, at whose home Mill Creek Baptist Church was formed in 1797. James Whitsitt, first pastor, served over 50 years. Earlier known as Flat Rock, in 1939 this place was renamed Woodbine, after the David Hughes Estate once located on Nolensville Road. In 1919 the L&N RR began operation of Radnor Yards.",,"Nolensville Road, between Joyner Avenue and Whitsett Road (across the street from Woodbine Methodist Church)",36.115696,-86.747595,POINT (-86.747595 36.115696)
235,2021,Gerst House,"William J. Gerst opened the Gerst House restaurant in 1955, a year after the Wm. Gerst Brewing Co. closed. Serving German-American food, it was a gathering place for attorneys, journalists and politicians due to its proximity to the courthouse. Bill died in 1968; his daughter, Gene Ritter, continued the tradition. In 1970, urban development forced the Gerst House to move across the river. After Gene's death in 1988, it was sold and renamed the ""Gerst Haus."" It closed in 2018.",,Union Avenue at Second Avenue North,36.166056,-86.778051,POINT (-86.778051 36.166056)
229,2020,Dudley Park,"Originally known as Chestnut Street Park, land for this South Nashville park was purchased in 1913. That same year, two daughters of Parks Commission chairman Robert M. Dudley—Louise and Rebecca—died in a train accident in Iowa. The park was renamed in their memory in 1914. Baseball fields and a swimming pool were added in 1920, and the Works Progress Administration built a community center in the 1930s. The park often hosted weekly concerts and movie nights in addition to sports.",,1201 Third Avenue South,36.143573,-86.764641,POINT (-86.764641 36.143573)
156,2016,Music Row,"The heart of Nashville's music business, Music Row began in 1955, when Owen Bradley opened the Quonset Hut, the first recording studio here. In 1957, Chet Atkins opened RCA's studio at the corner of 17th and Hawkins. Other studios, publishing houses, and record labels including Columbia, Epic, Decca, Warner Bros, Capitol, and Curb followed with offices here. Street names were changed in 1975 to Music Square East and West.                                                                                                               Donated by Mike Curb Family Foundation",,"Owen Bradley Park, 1 Music Square East",36.151803,-86.792075,POINT (-86.792075 36.151803)
65,1976,General Thomas Overton 1753-1824,"Gen. Thomas Overton served in the Revolutionary War and as Inspector of Revenue in N.C., the same position held by his brother Judge John Overton in Tenn. He was one of Gen. Jackson’s seconds in duel with Chas. Dickinson. This grave plot was a part of his homeplace, “Soldier’s Rest,” where he lived from 1804 until his death in 1824.",,"Donelson Avenue west of Bryan Street, Old Hickory",36.264147,-86.651195,POINT (-86.651195 36.264147)
164,2018,Antioch Pike,"The Mill Creek Valley Turnpike Company was incorporated by the Tenn. Gen. Assembly on Jan. 21, 1846. Starting near the four mile mark of Nolensville Pike, the road went through Mill Creek valley, “crossing main Mill creek at or near Rains’ mills, passing Antioch meeting house” and continuing south. Tollbooths could be established every five miles to pay for the completion of the road. The name was changed to Antioch Pike in October 1928.",,2360 Antioch Pike,36.06097,-86.674603,POINT (-86.674603 36.06097)
118,2004,Sunnyside,"Home of Mary Benton, widow of Jesse Benton who left Nashville after a famous feud with Andrew Jackson in 1813. The Greek Revival house was built c.1852 and stood between Union and Confederate lines during the Battle of Nashville in 1864. Prominent dentist L.G. Noel lived here for 45 years. The brick wings were added by Col. Granville Sevier during renovation of the house in the late 1920s.",,"Sevier Park
3000 Granny White Pike",36.119859,-86.790745,POINT (-86.790745 36.119859)
238,2021,Lynching of Samuel Smith,"The last known or recorded lynching in Davidson County took place in 1924 near this site.  Around midnight on December 14, 1924, a mob of at least six armed, white, masked men entered Nashville General Hospital and abducted Samuel Smith, age 15.  The men quickly identified Smith, who was in police custody and chained to his bed.  Nurse Amy Weagle attempted to hide the chain in an effort to thwart the abduction.  In the early hours of December 15, the mob drove Smith to Frank Hill Road, now Old Burkett Road, near the site of the alleged robbery and shooting that led to his arrest.  The mob stripped Smith of his pajamas, hung him from a tree with a thin rope, and shot him multiple times.  Despite a grand jury investigation, public outcry and a reward offer in local newspapers, no one was ever arrested, charged or held accountable for the murder of Samuel Smith.  This act of racial terror was meant not only to punish Smith for his alleged crimes, but to intimidate the local African American community and reinforce the racial hierarchy through violence.  Though passed down for generations in the community, this story has now been spoken of openly in an effort toward reconciliation.",,7236 Old Burkitt Road,35.992527,-86.68273,POINT (-86.68273 35.992527)
24,1970,Lockeland Spring,"Located 250 yds. S.E., this famous pioneer spring served Lockeland mansion on site of present school building. Home built by Col. Robert Weakley in early 1800’s and named for his wife, daughter of Gen. Matthew Locke of Salisbury, N.C. Spring water won prize at St. Louis Exposition in 1904, for its “unique mineral composition and salubrious quality.”",,corner of Woodland Avenue and North 17th Street,36.176942,-86.739568,POINT (-86.739568 36.176942)
189,2019,Dr. Matthew Walker Sr.,"Matthew Walker was born December 7, 1906 in Waterproof, La. After attending school in New Orleans, he graduated from Meharry Medical College in 1934 and began teaching at Hubbard Hospital. Walker served as Chairman of the Department of Surgery from 1945-73 and was instrumental in securing a 1968 federal grant to start the Meharry Neighborhood Health Center. In 1970 the community-based clinic’s name was changed to the Matthew Walker Comprehensive Health Center in his honor.",,1035 Fourteenth Avenue North,36.170705,-86.801482,POINT (-86.801482 36.170705)
23,1970,Cumberland Park,"The Cumberland Fair and Racing Association sponsored harness racing here 1891-1894. The great match race between Hal Pointer of Tennessee and Direct of California occurred Oct. 21, 1891. Direct won all three heats in record time for a pacing race. Arion, Directum, Kremlin, Robt. J. raced here. Running races 1893-1906 preceded the State Fair 1906.",,"State Fairgrounds, intersection of Walsh Road, Rains Avenue, and Wedgewood Avenue",36.132763,-86.764927,POINT (-86.764927 36.132763)
47,1971,Saint Cecilia Academy,"The name Saint Cecilia, patroness of music was chosen for a grammar and high school for girls, opened in October 1860 by four sisters who had moved to this site from Saint Mary’s convent, Third Order of Saint Dominic, Somerset, Ohio on August 17, 1860. The central building was completed in 1862, the west wing in 1880, and the east wing in 1913.",,Dominican Drive near Athens Way,36.187542,-86.800194,POINT (-86.800194 36.187542)
124,2007,First Baptist Church East Nashville,"Founded in 1866 under the direction of Rev. Randall B. Vandavall, First Baptist Church East Nashville built. This Classical Revival building between 1928 and 1931, during the height of Rev. W.S. Ellington’s career. Nashville artist Francis Euphemia Thompson painted the distinctive baptistry murals in the 1950s and 1960s. At that time the church served as a frequent meeting place for the African-American community during the Civil Rights Movement.",,601 Main Street,36.1739,-86.762598,POINT (-86.762598 36.1739)
82,1982,Oglesby Community House,"Built 1898, the Mary Lee Academy, the second school in the Oglesby Community, was named for its first teacher, Miss Mary Lee Clark. The county bought the school in 1906. The name changed to Ogilvie in honor of the land donor, Benton H. Ogilvie, and later became Oglesby. In 1943, the schoolhouse was given back to the Oglesby Community.",,5724 Edmondson Pike,36.03777,-86.743381,POINT (-86.743381 36.03777)
193,2019,Club Baron,"Jefferson Street developed as a vibrant African-American commercial district in the late-19th and early-20th century.  As Fisk University, Tenn. A&I (Tenn. State Univ.) and Meharry Medical College grew, more restaurants, shops and music venues opened to cater to nearby residents. Built in 1955 during the golden age of Jefferson Street’s music scene (1935-65), Club Baron is the only extant nightclub from that time. Owned by local pharmacist Jackson H. Brown, the building also 

served as a secondary location for Brown’s Pharmacy, as well as the only skating rink in town for African Americans.  The club is best known as the site of a 1963 guitar duel where Nashville bluesman Johnny Jones bested up-and-comer Jimi Hendrix. Other well-known performers included Fats Domino, Etta James, Little Richard, Otis Redding, Muddy Waters, Jackie Wilson and Ruth McFadden. Now owned by the Elks Lodge, the building was preserved as a local Historic Landmark in 2016.",,2614 Jefferson Street,36.168062,-86.818085,POINT (-86.818085 36.168062)
30,1970,Old Hickory Powder Plant,"Site of the $87,000,000 Old Hickory Powder Plant built and operated in 1918 by the E.I. DuPont deNemours Co., for the United States Government, to make smokeless gunpowder for the Allied Armies in World War I. By the time of the Armistice Nov. 11, 1918, the plant, 75% complete, was producing 750,000 lbs of powder every 24 hours.",,"Swinging Bridge Road and Cinder Road, Old Hickory",36.276917,-86.6691,POINT (-86.6691 36.276917)
61,1975,Nashville Academy of Medicine,"The Nashville Medical Society, the first medical association in Tennessee, was founded March 5, 1821, by seven physicians in the log courthouse on the Public Square. The first president was Dr. Felix Robertson (1781-1865), son of James and Charlotte Robertson and two-time Nashville mayor. On September 4, 1906, the organization was chartered by the State of Tennessee as the Nashville Academy of Medicine and Davidson County Medical Society.",,111 33rd Ave N,36.140972,-86.816986,POINT (-86.816986 36.140972)
53,1975,Frederick Stump 1724-1822,"Frederick Stump, an early settler in the Fort Nashboro area came from Pennsylvania by way of Georgia.  He was a Revolutionary War soldier & noted Indian fighter.  He owned a large plantation along White's Creek where he operated a mill & inn & rented land to other settlers.  This log house is said to have been his home and inn.",,4949 Buena Vista Pike,36.232122,-86.825096,POINT (-86.825096 36.232122)
41,1971,First Steam Locomotive,"On Dec. 13, 1850, the first steam engine, Tennessee No. 1, ordered by the Nashville & Chattanooga Railroad arrived at the wharf on the steamboat Beauty, from Cincinnati. The one mile trip on improvised track from the wharf to the S. Cherry St. crossing required 4 days by mule power. A one mile run was made from this point on Dec. 27, 1850.",,Fourth Avenue South railroad crossing at Hart Street (Dudley Park),36.142497,-86.765044,POINT (-86.765044 36.142497)
201,2019,Turner Grammar School,"By 1800 Whitsett’s Chapel became this area’s first school.  In Jan. 1899 Flat Rock native, philanthropist and real estate developer R.W. Turner and wife Sallie W. Turner gave 2 acres for a new 9th dist. public school.  The first Turner School was overcrowded by the 1920s.  Designed by architect George D. Waller, Turner Grammar School opened in 1926 with Otto Prather as principal.  The cafetorium dates to 1950.  An annex of Cole Elem. in its final years, the school closed in 1989.",,2949 Nolensville Pike,36.108327,-86.743958,POINT (-86.743958 36.108327)
99,1996,Lake Providence Community,"Soon after the Civil War, freed slave families established farms and dairies in this community named for Lake Providence Missionary Baptist Church. The church was founded in 1868 by Rev. Larry A. Thompson, a traveling missionary. The first church building and school stood nearby. Many roads in this area are named for African-American settlers.",,4500 block Nolensville Road,36.071553,-86.72389,POINT (-86.72389 36.071553)
77,1982,Fall School,"Fall School, built in 1898, is the oldest public school building remaining in Nashville. Named after Mr. P.S. Fall, a prominent Nashville businessman and member of the Board of Education from 1865-1867, it served as an elementary school until 1970. In 1982 it was privately renovated for offices. Unlike the earlier study hall design, Fall School had individual classrooms.",,1116 Eighth Avenue South,36.141902,-86.778561,POINT (-86.778561 36.141902)
66,1976,Cornelia Fort Airport,"Cornelia Fort (1919-43), Nashville’s first woman flying instructor volunteer, Army’s WAFS, WWII, was the first woman pilot to die on war duty in American history. “I am grateful that my one talent, flying, was useful to my country.” she wrote shortly before her death. Miss Fort was lost in a crash over Texas flying a basic-trainer plane, BT 13-A, across the United States.",,"Cornelia Fort Airport, Airpark Drive",36.190367,-86.70405,POINT (-86.70405 36.190367)
246,2022,Kurdish Americans in Nashville,"In 1976 Kurdish immigrants began arriving in Nashville and continued to emigrate here, fleeing persecutions in Iran, Iraq, Syria and Turkey where they were ethnic minorities following the Treaty of Lausanne. In 2022, around 20,000 Kurds lived in Nashville, the largest Kurdish community in America. One of the first Kurdish mosques in America, the Salahadeen Center of Nashville was founded in 1998 and provides religious, educational and social services to the local Muslim community.",,,,,
59,1975,Battle of Nashville Federal Main Line,"On Dec. 16, 1864, the Federal 16th Corps under Gen. A.J. Smith joined the 23rd Corps under Gen. John M. Schofield approx. 1000 ft. north of here. From that line at about 4:00 p.m. the 1st Brigade of Gen. John McArthur’s 1st Division launched the assault that broke the Confederate line at the salient on Shy’s Hill to the southeast which resulted in the rout of Hood’s Army.",X,Harding Place at Compton Trce,,,
85,1990,Vine Street Temple,"Nashville’s Jewish community began in the 1840s. Many early families were immigrants fleeing oppression in Germany, Russia, and Poland. Completed in 1876, the Vine Street Temple, with nine Byzantine domes was Nashville’s first synagogue, for 80 years a symbol of the city’s strong Jewish presence. In 1955, the Reform congregation moved to West Nashville where it and other Jewish congregations continue today.",,Commerce Street and Seventh Avenue North,36.160872,-86.781604,POINT (-86.781604 36.160872)
130,2008,Buchanan Log House,James Buchanan (1763-1841) built this two-story single pen log house with hall and parlor plan c1807. The single pen log addition was added c1820 to accommodate the Buchanan family’s sixteen children. The house displays a high level of craftsmanship and is one of the best examples of two-story log construction in Middle Tennessee. The house was restored and placed in the National Register of Historic Places in 1984.,,Elm Hill Pike in front of Buchanan Log House,36.144776,-86.657683,POINT (-86.657683 36.144776)
159,2017,Centenary Methodist Institute,"Women from the Methodist Training School founded Warioto Settlement House in 1908. Renamed Centenary Methodist Institute, CMI moved to this location by 1921. CMI worked with rural migrant families in the North Nashville area called Kalb Hollow, providing a health care clinic and instruction in domestic skills and childcare. Children and teens participated in sports and clubs, directed for many years by Tom Page. CMI merged with Bethlehem Centers of Nashville in 1970.",,614/616 Monroe Street,36.176025,-86.791107,POINT (-86.791107 36.176025)
43,1971,Wallace University School 1886-1941,"To prepare young men for College & for life, believing the first object of education to develop character, the second to develop intellect, third to make Christian gentlemen, Wallace University School, directed by Professor Clarence B Wallace, flourished on this site, 1914-1941. Graduates entered universities without taking the usual examinations.",,"2000 block of West End Avenue, near 20th Avenue",36.151122,-86.79987,POINT (-86.79987 36.151122)
106,1999,Houston’s Law Office,"Sam Houston, a native of Virginia, moved to Nashville in 1818 to study law with Judge James Trimble. Admitted to the bar later that year, Houston practiced in Lebanon, Tenn., before returning to Nashville to serve as District Attorney (1819-21). In 1821, he opened a law office near this site. He was elected a U.S. Congressman (1823-27), Governor of Tenn. (1827-29), and President of the Republic of Texas (1836-38).",,Second Avenue North at the Criminal Justice Center,36.168273,-86.779056,POINT (-86.779056 36.168273)
166,2018,Paradise Ridge,"Named for the Paradise brothers, early settlers from North Carolina, this ridge was home to the Joelton Air Force Station from 1956-61, when the 799th Aircraft Control and Warning Squadron operated here as a part of the integrated continental defense system against aerial attacks from the Soviet Union. After the station closed, the radar equipment was updated and is still used as part of the FAA Joint Surveillance System. The Paradise Ridge Community Center opened here in 2013.",,3000 Morgan Rd.,36.335708,-86.85987,POINT (-86.85987 36.335708)
219,2020,Nashville Plan Schools/fehr School,"In Brown v. Topeka (1954) and Brown II (1955) the U.S. Supreme Court ordered public schools nationwide to end racial segregation “with all deliberate speed.” Nashville failed to comply, resulting in the Kelley v. Board of Education case (1955) and the 1957 enactment of a grade-per-year plan starting at the first grade. In 1963, the Maxwell v. Davidson County (1960) case was merged with the Kelley case. In 1998, the court deemed the Metro school system to be desegregated.

Named for local merchant and former Board of Education member Rudolph Fehr (1850-1916), Fehr School opened in 1924.  It was designed by architects Dougherty and Gardner. On Sept. 9, 1957, the school was desegregated by four African American first grade students.  Some 200 protestors surrounded the school, jeering as students entered.  Members of the Congress of Racial Equality (CORE) visited parents in the area, supporting those already enrolled and encouraging others to join them.",,1624 5th Avenue North,36.182016,-86.792274,POINT (-86.792274 36.182016)
7,1968,East Nashville Fire,"Nashville’s worst disaster by fire occurred Wednesday, March 22, 1916. It began at 11:47 a.m. in the rear of Seagraves Planing Mill, 80 yards west, and was swept eastwardly by 44 to 51 mph gales.  It was brought under control at 4:30 p.m. near So. Tenth and Dew Streets.  648 buildings were burned, 1 life lost and 3,000 people left homeless.",,211 North 1st Street,36.175227,-86.774227,POINT (-86.774227 36.175227)
54,1975,Montgomery Bell Academy,"Formerly established in 1867 with a bequest of $20,000 by ironmaster Montgomery Bell, the roots of M.B.A. actually go back to 1785, with the University of Nashville, Cumberland College, and Davidson Academy. The boy’s preparatory school has been here since 1915, when the Board of Trustees purchased Totomoi, the estate of Garland Tinsley.",,4001 Harding Road,36.130091,-86.838429,POINT (-86.838429 36.130091)
241,2022,Vine Hill,"William J. Gerst (of the Wm. Gerst Brewing Co.) purchased the Vine Hill estate in 1900 from Capt. John W. Morton for $14,195. In 1905 Gerst built a three-story barn and started rearing thoroughbreds. The local brewer/turfman’s prize horse, Donau, won the Kentucky Derby in 1910. The family sold the estate in 1941 to make way for Vultee Aircraft’s employee housing. The home was used as a community center for soldiers during WWII and later razed for government housing.",,Benton Avenue at Bransford Avenue,36.131562,-86.768561,POINT (-86.768561 36.131562)
103,1999,Julia Mcclung Green 1873-1961,"Dedicated educator who served Davidson County public schools 57 years as a teacher, the first Supervisor of Elementary Education 1911-1944 and Director of Character Education, Miss Julia oversaw schools countywide. A progressive, she pioneered school hot lunch and health programs for children, local affiliation with national education organizations, and the local PTA movement.",,3500 Hobbs Road,36.102314,-86.833419,POINT (-86.833419 36.102314)
67,1976,Waverly Place,"About 100 yards east stood Waverly, the home of A.W. Putnam, a writer and historian. The house was named for the Waverley Novels by Sir Walter Scott. Putnam sold Waverly in 1858, and in 1887 the land was conveyed to a real estate syndicate—the Waverly Land Co.  The land was subdivided into lots, and became a streetcar suburb serviced by the Waverly Place-Glendale Park line. Several of the streets—Grantland, White, and Ridley—are named for members of the land syndicate.",,760 Benton Avenue,36.132548,-86.77851,POINT (-86.77851 36.132548)
175,2018,Tennessee Hospital for the Insane,"In 1832, the Tenn. legislature approved the state’s first asylum, established in 1840 southwest of Nashville. The State bought this land in 1848, after activist-reformer Dorothea Dix and asylum staff called for improved facilities. Prominent architect Adolphus Heiman designed the Gothic-style complex with octagonal towers and separate wards. Opened in 1852 and renamed Central State Hospital in 1920, it closed in 1995. A stone gatehouse and unmarked graves are all that remain.",,2 Dell Parkway,36.107811,-86.677384,POINT (-86.677384 36.107811)
155,2013,Woman Suffrage Rallies,"Centennial Park was the site of May Day rallies held annually from 1914 until 1920, when the Tennessee General Assembly ratified the 19th Amendment to the U.S. Constitution, guaranteeing the right to vote to American women. Suffragists marched from the State Capitol to Centennial Park, where thousands gathered to hear speakers such as Anne Dallas Dudley, Maria Thompson Daviess, Sue Shelton White, and Abby Crawford Milton.",,"Centennial Park, along 28th Avenue North near Art Center",36.153343,-86.812373,POINT (-86.812373 36.153343)
